lp,src,mt,ref,score,system,annotators,domain,year
en-de,"If costs for your country are not listed, please contact us for a quote.","Wenn die Kosten für Ihr Land nicht aufgeführt sind, kontaktieren Sie uns bitte für ein Angebot.","Wenn die Kosten für Ihr Land nicht aufgeführt sind, wenden Sie sich für einen Kostenvoranschlag an uns.",100.0,PROMT,1,ecommerce,2022
en-de,"Delivery of smaller size photographs up to 16x12"" to Europe is typically 5 - 15 business days from dispatch, and to the rest of world is 7 - 20 business days, via Airmail.","Die Lieferung von kleineren Fotos bis zu 16x12 ""nach Europa ist in der Regel 5 - 15 Werktage ab Versand, und in den Rest der Welt ist 7 - 20 Werktage, per Luftpost.","Die Lieferung von kleineren Fotografien bis 16x12"" nach Europa dauert in der Regel 5 - 15 Werktage ab dem Versand, und in die restliche Welt 7 - 20 Werktage per Luftpost.",91.0,PROMT,1,ecommerce,2022
en-de,"Delivery of large photographs 20x16"" and 24x20"" are typically delivered within 7 - 20 working days to Europe and Rest of World.",Lieferung von großen Fotografien 20x16 „und 24x20“ werden in der Regel innerhalb von 7 - 20 Werktagen nach Europa und Rest der Welt geliefert.,"Größere Fotografien von 20x16"" und 24x20"" werden in der Regel innerhalb von 7 - 20 Werktagen nach Europa und in die restliche Welt geliefert.",88.5,PROMT,1,ecommerce,2022
en-de,We will combine shipping on orders for the same customer.,Wir kombinieren Versand auf Bestellungen für den gleichen Kunden.,Wir kombinieren den Versand von Bestellungen für den gleichen Kunden.,94.5,PROMT,1,ecommerce,2022
en-de,"Please choose all of the photographs you would like and, once finished, check out only once to automatically receive the discounted postage rate.","Bitte wählen Sie alle Fotos aus, die Sie möchten, und checken Sie, sobald Sie fertig sind, nur einmal aus, um automatisch den ermäßigten Portopreis zu erhalten.","Bitte wählen Sie alle gewünschten Fotografien aus und gehen Sie dann nur einmal zur Kasse, wo Ihnen automatisch der Rabatt für die Postgebühr berechnet wird.",95.0,PROMT,1,ecommerce,2022
en-de,International buyers please note: our large photographs are sent rolled in postal tubes.,Internationale Käufer bitte beachten Sie: Unsere großen Fotos werden eingerollt in Versandrohren verschickt.,"Internationale Käufer beachten bitte, dass unsere großen Fotografien zusammengerollt in Versandröhren versendet werden.",97.0,PROMT,1,ecommerce,2022
en-de,Please note that in some countries the local mail services do not deliver postal tubes along with letters and small packets.,"Bitte beachten Sie, dass in einigen Ländern die lokalen Postdienste keine Poströhren zusammen mit Briefen und kleinen Paketen zustellen.","Bitte beachten Sie, dass in manchen Ländern die örtlichen Postdienste Versandröhren nicht zusammen mit Briefen und kleinen Paketen zustellen.",95.5,PROMT,1,ecommerce,2022
en-de,"For this reason, the stated delivery period covers a wide range.",Aus diesem Grund deckt die angegebene Lieferzeit ein breites Spektrum ab.,Aus diesem Grund ist der angegebene Zustellungszeitraum sehr lang.,96.5,PROMT,1,ecommerce,2022
en-de,The postal companies allow up to 25 working days for delivery of items by standard Airmail.,Die Postunternehmen erlauben bis zu 25 Werktage für die Lieferung von Artikeln per Standard-Luftpost.,Die Postunternehmen rechnen mit bis zu 25 Werktagen für die Zustellung von Artikeln per Standardluftpost.,93.0,PROMT,1,ecommerce,2022
en-de,Please therefore allow around 25 working days from dispatch before contacting us about a suspected delivery problem.,"Bitte erlauben Sie daher ca. 25 Werktage ab Versand, bevor Sie uns wegen eines vermuteten Lieferproblems kontaktieren.","Daher sollten Sie ca. 25 Werktage ab dem Versand abwarten, bevor Sie uns bezüglich eines vermuteten Lieferproblems kontaktieren.",92.0,PROMT,1,ecommerce,2022
en-de,We do offer premium Airmail services with priority handling and tracking.,Wir bieten Premium-Luftpostdienste mit vorrangiger Handhabung und Verfolgung an.,Wir bieten auch Premium-Luftpostdienste mit Priorität und Sendungsverfolgung an.,92.0,PROMT,1,ecommerce,2022
en-de,"Generally, delivery is faster via these services but please be aware they are not timed or guaranteed delivery services and the same service level of up to 25 working days delivery timeframe is applied by the postal companies.","Im Allgemeinen ist die Lieferung über diese Dienste schneller, aber bitte beachten Sie, dass sie keine zeitgesteuerten oder garantierten Zustelldienste sind und das gleiche Serviceniveau von bis zu 25 Werktagen Lieferfrist von den Postunternehmen angewendet wird.","In der Regel geht der Versand mit diesen Diensten schneller, aber bitte beachten Sie, dass es sich nicht um Lieferdienste mit Garantien und festen Zeiten handelt und das gleiche Servicelevel von bis zu 25 Werktagen für die Zustellung von den Postunternehmen angewendet wird.",85.0,PROMT,1,ecommerce,2022
en-de,"Featuring an incredible stretch characteristic in diameter, allowing the hose to stretch onto a connection for a perfect seal (i.e. you can stretch a 3mm I.D hose onto a 5mm O.D connection).","Mit einer unglaublichen Dehnungscharakteristik im Durchmesser, die es dem Schlauch ermöglicht, sich auf einen Anschluss für eine perfekte Abdichtung zu dehnen (d. H. Sie können einen 3mm I.D-Schlauch auf einen 5mm O.D-Anschluss dehnen).","Er weist eine hochgradige Dehnfähigkeit im Durchmesser auf, wodurch der Schlauch auf einen Anschluss gedehnt werden kann und für perfekte Abdichtung sorgt (es kann z. B. ein Schlauch mit einem Innendurchmesser von 3 mm auf einen Anschluss mit einem Außendurchmesser von 5 mm gedehnt werden).",100.0,PROMT,1,ecommerce,2022
en-de,"Add 5 double wire clamps to your order for just 99p, perfect for securing the vacuum hose in place!","Fügen Sie 5 Doppeldrahtklemmen zu Ihrer Bestellung für nur 99p hinzu, perfekt, um den Vakuumschlauch an Ort und Stelle zu sichern!","Fügen Sie Ihrer Bestellung für nur 99p 5 Doppeldrahtklammern hinzu, die sich perfekt für die Befestigung des Vakuumschlauchs eignen!",99.0,PROMT,1,ecommerce,2022
en-de,"With more than 12 years’ experience of dealing with aftermarket Samco Sport performance silicone hoses, we are proud to be the world’s leading motorcycle silicone hose specialist distributor.","Mit mehr als 12 Jahren Erfahrung im Umgang mit Aftermarket Samco Sport Performance Silikonschläuchen sind wir stolz darauf, der weltweit führende Motorrad-Silikonschlauch-Fachhändler zu sein.","Mit über 12 Jahren Erfahrung mit leistungsfähigen Samco Sport Silikonschläuchen im Zubehörmarkt sind wir stolz darauf, der führende spezialisierte Vertreiber für Motorrad-Silikonschläuche zu sein.",99.0,PROMT,1,ecommerce,2022
en-de,"With a large stock of universal race parts options, we strive on 100% service.",Mit einem großen Bestand an universellen Rennteiloptionen streben wir einen 100% igen Service an.,Wir verfügen über einen großen Bestand universaler Optionen für Rennmotorradteile und streben einen 100-prozentigen Service an.,100.0,PROMT,1,ecommerce,2022
en-de,"Samco Sport Vacuum hose has a whole host of applications: emission control, radiator overflow, windscreen washers and perfect for carburetor vent hose replacement on motocross and road bike applications.","Samco Sport Vakuumschlauch hat eine ganze Reihe von Anwendungen: Emissionskontrolle, Kühlerüberlauf, Scheibenwaschanlagen und perfekt für Vergaserentlüftungsschlauchwechsel bei Motocross- und Rennradanwendungen.","Für den Samco Sport-Vakuumschlauch gibt es zahllose Anwendungen: Abgaskontrolle, Kühlerüberlauf, Scheibenwaschanlage und perfekte Eignung als Ersatz des Vergaser-Entlüftungsschlauchs bei Motocross- und Rennmotorradanwendungen.",99.0,PROMT,1,ecommerce,2022
en-de,"This is a great product and suitable for all bikes, cars and commercial applications.","Dies ist ein großartiges Produkt und eignet sich für alle Fahrräder, Autos und kommerzielle Anwendungen.","Dieses großartige Produkt eignet sich für alle Motorräder, Autos und gewerbliche Anwendungen.",86.0,PROMT,1,ecommerce,2022
en-de,"Add 5 double wire clamps to your order for just 99p, perfect for securing the vacuum hose in place!","Fügen Sie 5 Doppeldrahtklemmen zu Ihrer Bestellung für nur 99p hinzu, perfekt, um den Vakuumschlauch an Ort und Stelle zu sichern!","Fügen Sie Ihrer Bestellung für nur 99p 5 Doppeldrahtklammern hinzu, die sich perfekt für die Befestigung des Vakuumschlauchs eignen!",99.0,PROMT,1,ecommerce,2022
en-de,Not suitable for high pressure water installations or hot water systems.,Nicht geeignet für Hochdruckwasserinstallationen oder Warmwasseranlagen.,Nicht geeignet für Hochdruckwasser-Installationen oder Heißwassersysteme.,99.0,PROMT,1,ecommerce,2022
en-de,This hose is not suitable for oil transfer.,Dieser Schlauch ist nicht für den Öltransfer geeignet.,Dieser Schlauch ist nicht als Ölleitung geeignet.,99.0,PROMT,1,ecommerce,2022
en-de,Why choose Samco Sport silicone hoses?,Warum wählen Sie Samco Sport Silikonschläuche?,Warum Samco Sport-Silikonschläuche wählen?,100.0,PROMT,1,ecommerce,2022
en-de,"Ltd Lifetime guarantee, 2 years for pro-fuel applications.","Ltd Lebenslange Garantie, 2 Jahre für Pro-Kraftstoff-Anwendungen.","Besonderes Angebot Garantie auf Lebensdauer, 2 Jahre für Kraftstoffanwendungen.",99.0,PROMT,1,ecommerce,2022
en-de,Norton Security Deluxe includes online access to expert help from certified Norton technicians.,Norton Security Deluxe bietet Online-Zugriff auf Expertenhilfe von zertifizierten Norton-Technikern.,Norton Security Deluxe umfasst Online-Zugang zur Experten-Hilfe durch zertifizierte Norton-Techniker.,99.0,PROMT,1,ecommerce,2022
en-de,"If at any time you need help, our support agents are ready to assist you 24 hours a day, seven days a week.","Wenn Sie jederzeit Hilfe benötigen, stehen Ihnen unsere Support-Mitarbeiter 24 Stunden am Tag, sieben Tage die Woche zur Verfügung.","Wenn Sie zu irgend einem Zeitpunkt Hilfe benötigen, unterstützen unsere Support-Mitarbeiter Sie gerne rund um die Uhr und an sieben Tagen der Woche.",76.33333333333333,PROMT,1,ecommerce,2022
en-de,"To be eligible for the Virus Protection Promise, you must purchase, renew, or upgrade your Norton subscription directly from Symantec, or subscribe to the Norton Automatic Renewal Service.","Um für das Virenschutzversprechen in Frage zu kommen, müssen Sie Ihr Norton-Abonnement direkt bei Symantec erwerben, erneuern oder aktualisieren oder den Norton Automatic Renewal Service abonnieren.","Um für das Virenschutzversprechen berechtigt zu sein, müssen Sie Ihr Norton-Abonnement direkt bei Symantec kaufen, verlängern oder upgraden oder den automatischen Verlängerungsservice von Norton abonnieren.",98.33333333333331,PROMT,1,ecommerce,2022
en-de,"If a Symantec service representative is unable to remove a virus from your device, then you may receive a full refund on the actual price paid for the Norton subscription, or if a Norton bundle, the total Norton bundle price paid (net of any discounts or refunds received and less any shipping, handling and applicable taxes, except in certain states and countries where shipping, handling and taxes are refundable) and only for the current paid subscription service period for that subscription or subscription bundle.","Wenn ein Symantec-Servicemitarbeiter nicht in der Lage ist, einen Virus von Ihrem Gerät zu entfernen, erhalten Sie möglicherweise eine vollständige Rückerstattung des tatsächlichen Preises, der für das Norton-Abonnement gezahlt wurde, oder, wenn es sich um ein Norton-Bundle handelt, den gesamten gezahlten Norton-Bundle-Preis. (abzüglich aller erhaltenen Rabatte oder Erstattungen und abzüglich aller Versand-, Bearbeitungs- und anfallenden Steuern, außer in bestimmten Staaten und Ländern, in denen Versand-, Bearbeitungs- und Steuern erstattet werden können) und nur für die aktuelle bezahlte Abonnementdienstperiode für dieses Abonnement oder Abonnementbündel.","Wenn ein Symantec-Kundendienstvertreter nicht in der Lage ist, einen Virus von Ihrem Gerät zu entfernen, können Sie eine vollständige Erstattung des tatsächlich für das Norton-Abonnement bezahlten Preises erhalten, bzw. im Fall eines Norton-Bundles den gesamten gezahlten Preis für das Norton-Bundle (abzüglich aller erhaltenen Rabatte oder Erstattungen und abzüglich Versand- und Bearbeitungsgebühren und anwendbaren Steuern, außer in bestimmten Gebieten und Ländern, in denen Versand, Bearbeitung und Steuern erstattungsfähig sind) und nur für den aktuellen bezahlten Abonnementservicezeitraum für das Abonnement oder Abonnement-Bundle.",98.33333333333331,PROMT,1,ecommerce,2022
en-de,The Norton subscription must be installed and activated on your device prior to the time it is infected by a virus.,"Das Norton-Abonnement muss auf Ihrem Gerät installiert und aktiviert werden, bevor es mit einem Virus infiziert wird.","Das Norton-Abonnement muss auf Ihrem Gerät installiert und aktiviert worden sein, bevor dieses mit einem Virus infiziert wird.",98.66666666666669,PROMT,1,ecommerce,2022
en-de,The refund DOES NOT apply to any damages incurred as a result of viruses.,"Die Rückerstattung gilt NICHT für Schäden, die infolge von Viren entstehen.","Die Erstattung erstreckt sich NICHT auf jegliche Schäden, die infolge von Viren entstanden sind.",99.0,PROMT,1,ecommerce,2022
en-de,See Norton website for more detail.,Weitere Informationen finden Sie auf der Norton-Website.,Weitere Einzelheiten finden Sie auf der Website von Norton.,99.0,PROMT,1,ecommerce,2022
en-de,Protect what matters with a top-rated security service,"Schützen Sie, worauf es ankommt, mit einem erstklassigen Sicherheitsdienst","Schützen Sie, was wichtig ist, mit einem Sicherheitsservice mit Spitzenbewertungen",98.33333333333331,PROMT,1,ecommerce,2022
en-de,"Your online life and real life are merging into one seamless experience, and you need security that can keep viruses, identity theft, and other digital threats from becoming real-life headaches.","Ihr Online-Leben und Ihr reales Leben verschmelzen zu einer nahtlosen Erfahrung, und Sie brauchen Sicherheit, die verhindern kann, dass Viren, Identitätsdiebstahl und andere digitale Bedrohungen zu echten Kopfschmerzen werden.","Ihr Online-Leben und Ihr echtes Leben sind eng miteinander verwoben, und Sie benötigen einen Schutz, der verhindern kann, dass Viren, Identitätsdiebstahl und andere digitale Bedrohungen zu Problemen im echten Leben werden.",98.66666666666669,PROMT,1,ecommerce,2022
en-de,"We see more, analyse more and stop more online threats","Wir sehen mehr, analysieren mehr und stoppen mehr Online-Bedrohungen","Wir sehen mehr, analysieren mehr und stoppen mehr Online-Bedrohungen",99.0,PROMT,1,ecommerce,2022
en-de,The unit provides glitch−free switching between sources through FTBTM (fade−thru−black) switching technology.,Das Gerät ermöglicht die glitch−free Umschaltung zwischen Quellen durch FTBTM (fade−thru−black) -Vermittlungstechnologie.,Das Gerät ermöglicht störungsfreies Umschalten zwischen Quellen über FTBTM-Umschalttechnologie (Fade-zu-Schwarz).,88.75,PROMT,1,ecommerce,2022
en-de,"HQV® Video Processing - HQV (Hollywood Quality Video) processing represents the state−of−the−art in video processing technology, with the highest quality de−interlacing (with 3:2 & 2:2 pull down), noise reduction, and scaling performance for both standard−definition and high−definition signals.","HQV® Video Processing - Die HQV-Verarbeitung (Hollywood Quality Video) stellt die state−of−the−art in der Videoverarbeitungstechnologie mit der höchsten Qualität de−interlacing (mit 3:2 & 2:2 Pulldown), Rauschunterdrückung und Skalierungsleistung für standard−definition und high−definition Signale dar.","HQV® Videoverarbeitung: HQV-Verarbeitung (Hollywood Quality Video) ist die fortgeschrittenste Videoverarbeitungstechnologie mit höchster Qualität bei De-Interlacing (3:2 und 2:2), Rauschverminderung und Skalierungsleistung sowohl für Standard- als auch hochauflösende Signale.",71.5,PROMT,1,ecommerce,2022
en-de,"Fade-Thru-Black (FTBTM) Switching - The video fades to black and then the new input fades from black for smooth, glitch−free switching.","Fade-Thru-Black (FTBTM) -Umschaltung - Das Video wird schwarz, und der neue Eingang wird für ein reibungsloses, glitch−free Umschalten von Schwarz ausgeblendet.","Fade-zu-Schwarz-Umschaltung (FTBTM): Das Video wird zu Schwarz ausgeblendet, dann wird die neue Eingabe von Schwarz eingeblendet, um einen gleichmäßigen, störungsfreien Übergang zu ermöglichen.",76.33333333333333,PROMT,1,ecommerce,2022
en-de,The output signal provides constant sync so the display never glitches.,"Das Ausgangssignal bietet eine konstante Synchronisation, so dass die Anzeige nie stört.","Das Ausgabesignal wird fortlaufend synchronisiert, sodass keine Bildstörungen auftreten.",96.66666666666669,PROMT,1,ecommerce,2022
en-de,"K-IIT XLTM Picture-in-Picture Image Insertion Technology - Ultra stable picture−in−picture, picture−and−picture, and split screen capability.","K-IIT XLTM Picture-in-Picture Image Insertion Technology - Extrem stabile picture−in−picture, picture−and−picture und Split-Screen-Funktion.","K-IIT XLTM Bild-in-Bild-Einfügetechnologie: ultrastarke Funktionen für Bild-in-Bild, Bild-und-Bild und geteilten Bildschirm.",76.0,PROMT,1,ecommerce,2022
en-de,Any video source can be inserted into or positioned next to a computer graphics video source or vice versa with window positioning and sizing controls.,Jede Videoquelle kann in eine Computergrafikvideoquelle eingefügt oder neben einer Computergrafikvideoquelle positioniert werden oder umgekehrt mit Fensterpositionierungs- und Größensteuerungen.,"Jede Videoquelle kann in eine Computergrafik-Videoquelle eingefügt oder daneben positioniert werden bzw. umgekehrt, wobei Fensterpositions- und Größensteuerungen verwendet werden können.",98.33333333333331,PROMT,1,ecommerce,2022
en-de,"Video Inputs - 2 universal video each on 3 BNC (composite, s−Video, component), 4 computer graphics/component video (15−pin HD), 2 HDMI and 1 USB (for JPEG data).","Videoeingänge - je 2 Universalvideos auf 3 BNC (Composite, s−Video, Component), 4 Computergrafiken/Component Video (15−pin HD), 2 HDMI und 1 USB (für JPEG-Daten).","Videoeingänge: 2 Universalvideo jeweils auf 3 BNC (Komposit, s−Video, Komponente), 4 Computergrafik/Komponentenvideo (15-polig HD), 2 HDMI und 1 USB (für JPEG-Daten).",98.66666666666669,PROMT,1,ecommerce,2022
en-de,HDCP Compliant - The HDCP (High Definition Content Protection) license agreement allows copy−protected data on the HDMI input to pass only to the HDMI output.,"HDCP-konform - Der HDCP-Lizenzvertrag (High Definition Content Protection) ermöglicht es, dass copy−protected Daten am HDMI-Eingang nur an den HDMI-Ausgang weitergeleitet werden.",HDCP-konform: Mit der HDCP-Lizenzvereinbarung (High Definition Content Protection) können kopiergeschützte Daten am HDMI-Eingang nur an den HDMI-Ausgang übergeben werden.,77.66666666666667,PROMT,1,ecommerce,2022
en-de,"Multiple Aspect Ratio Selections - 4x3 or 16x9, anamorphic, letterbox, and user definable settings.","Auswahl mehrerer Seitenverhältnisse - 4x3 oder 16x9, anamorph, Briefkasten und benutzerdefinierbare Einstellungen.","Mehrere Seitenverhältnis-Optionen: 4x3 oder 16x9, anamorph, Letterbox und benutzerdefinierbare Einstellungen.",99.33333333333331,PROMT,1,ecommerce,2022
en-de,"Companion AFV (Audio-Follow-Video) - For every analog video input, supports embedded audio on the 2 HDMI inputs and outputs.",Companion AFV (Audio-Follow-Video) - Unterstützt für jeden analogen Videoeingang eingebettetes Audio an den 2 HDMI-Ein- und Ausgängen.,Companion AFV (Audio-Follow-Video): Für jeden analogen Videoeingang wird eingebettetes Audio an den 2 HDMI-Eingängen und -Ausgängen unterstützt.,99.0,PROMT,1,ecommerce,2022
en-de,"Audio Inputs - 6 balanced or S/PDIF audio (each selectable) on terminal blocks, one for each of the 2 universal video and 4 computer graphics video inputs.","Audioeingänge - 6 symmetrische oder S/PDIF-Audio (jeweils auswählbar) auf Klemmenblöcken, einer für jeden der 2 universellen Video- und 4 Computergrafikvideoeingänge.","Audioeingänge: 6 Balanced oder S/PDIF-Audio (jeweils auswählbar) an Terminalblocks, jeweils eins für die 2 Universal- und 4 Computergrafik-Videoeingänge.",99.0,PROMT,1,ecommerce,2022
en-de,All our comics are sent bagged as standard.,Alle unsere Comics werden standardmäßig verpackt verschickt.,Alle unsere Comics werden standardmäßig in Beuteln verpackt versendet.,100.0,PROMT,1,ecommerce,2022
en-de,"In addition, the older items are usually boarded as well.",Darüber hinaus werden die älteren Gegenstände in der Regel auch an Bord genommen.,Ältere Exemplare werden zudem auf eine Kartonunterlage gelegt.,84.0,PROMT,1,ecommerce,2022
en-de,The newer items are bagged only.,Die neueren Artikel werden nur verpackt.,Neuere Exemplare werden nur in Beuteln verpackt.,100.0,PROMT,1,ecommerce,2022
en-de,"In addition to the above item, we have over 250,000 comics in stock, including both back issues and new items.","Zusätzlich zu dem oben genannten Artikel haben wir über 250.000 Comics auf Lager, darunter sowohl Back-Ausgaben als auch neue Artikel.","Neben dem obigen Artikel haben wir mehr als 250.000 Comics auf Lager, sowohl frühere Ausgaben als auch neue Artikel.",100.0,PROMT,1,ecommerce,2022
en-de,All our comics are supplied from our real world store enabling us to offer a huge range of comics via auction.,"Alle unsere Comics werden von unserem realen Weltspeicher geliefert, der uns ermöglicht, eine riesige Strecke der Comics über Versteigerung anzubieten.","Alle unsere Comics werden von unserem physischen Geschäft aus geliefert, wodurch wir eine riesige Comic-Auswahl per Versteigerung anbieten können.",100.0,PROMT,1,ecommerce,2022
en-de,We've probably got what you're looking for!,"Wir haben wahrscheinlich, was Sie suchen!","Wahrscheinlich haben wir, wonach Sie suchen!",100.0,PROMT,1,ecommerce,2022
en-de,"(If placing multiple orders, please request an invoice for the correct amount BEFORE paying.)","(Wenn Sie mehrere Bestellungen aufgeben, fordern Sie bitte VOR der Zahlung eine Rechnung für den richtigen Betrag an.)","(Wenn Sie mehrere Bestellungen aufgeben, fordern Sie bitte VOR der Zahlung eine Rechnung über den korrekten Betrag an.)",100.0,PROMT,1,ecommerce,2022
en-de,This item is an original American comic and is in English!,Dieser Artikel ist ein original amerikanischer Comic und ist in Englisch!,Dieser Artikel ist ein amerikanischer Original-Comic und in englischer Sprache verfasst!,100.0,PROMT,1,ecommerce,2022
en-de,Please note that all our comics in every grade (EVEN POOR) will be complete unless stated otherwise in the listing!,"Bitte beachten Sie, dass alle unsere Comics in jeder Klasse (EVEN POOR) vollständig sind, sofern in der Auflistung nichts anderes angegeben ist!","Bitte beachten Sie, dass alle unsere Comics aller Zustandsklassen (SELBST SCHLECHT) vollständig sind, sofern im Angebot nicht anders angegeben!",100.0,PROMT,1,ecommerce,2022
en-de,Please take the time to review both the attached cover scan and detailed grade description above to ensure that this particular comic is in the condition you require.,"Bitte nehmen Sie sich die Zeit, sowohl den beigefügten Cover-Scan als auch die detaillierte Beschreibung oben zu überprüfen, um sicherzustellen, dass dieser bestimmte Comic in dem Zustand ist, den Sie benötigen.","Nehmen Sie sich die Zeit, sowohl den angehängten Scan der Titelseite als auch die detaillierte Zustandsbeschreibung oben genau zu prüfen, um sicherzugehen, dass dieser Comic den von Ihnen gewünschten Zustand aufweist.",100.0,PROMT,1,ecommerce,2022
en-de,Most of our listings offer Multi-Buy discounts.,Die meisten unserer Angebote bieten Multi-Buy-Rabatte.,Für die meisten unserer Angebote gilt ein Rabatt für den Kauf mehrerer Artikel.,100.0,PROMT,1,ecommerce,2022
en-de,The items can be ANY combination of ANY ITEMS included in the Multi-Buy.,"Die Artikel können eine BELIEBIGE Kombination von ALLEN ARTIKELN sein, die im Multi-Buy enthalten sind.","Bei den Artikel kann es sich um BELIEBIGE Kombinationen ALLER ARTIKEL handeln, für die der Rabatt gilt.",100.0,PROMT,1,ecommerce,2022
en-de,They DO NOT have to be multiple copies of the same item.,Sie müssen NICHT mehrere Kopien desselben Artikels sein.,Es müssen NICHT mehrere Kopien des gleichen Artikels sein.,100.0,PROMT,1,ecommerce,2022
en-de,Just pick the required total quantity and you'll automatically be given the discount on all of them!,Wählen Sie einfach die erforderliche Gesamtmenge aus und Sie erhalten automatisch den Rabatt auf alle!,"Wählen Sie einfach die gewünschte Gesamtanzahl aus, und Sie erhalten automatisch den Rabatt für alle Artikel!",100.0,PROMT,1,ecommerce,2022
en-de,Some of our items include the option to place a best offer.,"Einige unserer Artikel beinhalten die Option, ein bestes Angebot zu platzieren.","Für manche unserer Artikel besteht die Option, ein bestes Angebot abzugeben.",99.0,PROMT,1,ecommerce,2022
en-de,"If there is a Best Offer option, we'll consider any reasonable offer.","Wenn es eine Best Offer-Option gibt, werden wir jedes vernünftige Angebot in Betracht ziehen.","Wenn eine Option für ein bestes Angebot vorhanden ist, prüfen wir jedes angemessene Angebot.",100.0,PROMT,1,ecommerce,2022
en-de,We do not list ANY comics as Mint condition.,Wir listen KEINE Comics als Mint-Zustand auf.,Wir bieten KEINE Comics in einwandfreiem Zustand an.,99.0,PROMT,1,ecommerce,2022
en-de,"In our view, this grade does not exist.",Aus unserer Sicht gibt es diese Note nicht.,Unserer Ansicht nach gibt es diese Klasse nicht.,99.0,PROMT,1,ecommerce,2022
